"MAKE_NEW","NEW_MODEL","car_type","n"
"AUDI","S4","COMPACT",6177
"AUDI","S5","MID",3390
"AUDI","S6","MID",941
"AUDI","S7","MID",363
"AUDI","S8","LUX",453
"AUDI","SQ5","SUV",946
"AUDI","TT","SPORT",6869
"AUDI","TTS","OTHER",12
"AUDI","V8","FULL",7
"AUG15","NPR","OTHER",1
"AUSTIN_HEALY","HEALEY","LUX SPORT",1
"AUSTIN_HEALY","MINI","LUX SPORT",6
"AUSTIN_HEALY","MORRIS","LUX SPORT",1
"AUSTON","MINI","OTHER",1
"AUTO","MASTER","OTHER",1
"AUTO CARR","FLATBED","OTHER",1
"AUTO MATE","5","OTHER",1
"AUTU","TRAVEL","OTHER",1
"AUTUM","TRVTR","OTHER",1
"AUTUMN RIDGE","TRAVEL","OTHER",1
"AVANTI","AVANTI","LUX SPORT",4
"AVANTI","II","LUX SPORT",27
"AVENGER","26BH","OTHER",1
"AVENGER","TRAILER","OTHER",2
"AVENGER","TRAILER`","OTHER",1
"AVENGER","UTILITY","OTHER",1
"AVG","T-SPORT","OTHER",1
"AVG","TOMBERLIN","OTHER",1
"AVION","FLEET","OTHER",1
"AVION","TRVL","OTHER",1
"AVION","WINNBEGO","OTHER",1
"AVSE","CONSTRUCTED","OTHER",1
"B","B","OTHER",1
"B AN B","DUMP","OTHER",1
"B OAT","TRAILER","OTHER",1
"B-WISE","TRAILER","OTHER",1
"BABY TRACTOR","BABY","OTHER",1
"BACK40","TRAILER","OTHER",1
"BAKER","HUGHES","OTHER",1
"BALARUS","BIG","OTHER",1
"BALCO","FLATBED","OTHER",1
"BAND","TRAILER","OTHER",1
"BANDIT INDUSTRIES IN","CHIPPER","OTHER",1
"BANTAM","TRAIL-LITE","OTHER",1
"BAODIAO","METRO","OTHER",1
"BAR-B-Q","TRAILER","OTHER",1
"BARGE","BARGE","OTHER",1
"BARMAR","10000","OTHER",1
"BARRETT","3","OTHER",1
"BARRETT","HORSE","OTHER",1
"BARRETT",NA,"OTHER",1
"BASE","TRAILER","OTHER",2
"BASHAN","BS250","OTHER",1
"BASS","BOAT","OTHER",2
"BASS","MASTER","OTHER",1
"BASS","PRO","OTHER",1
"BASS","TRACK","OTHER",1
"BASS","TRACKER","OTHER",3
"BASS CAT","BOAT","OTHER",1
"BASS CAT","J","OTHER",1
"BASS PRO","TRACKER","OTHER",1
"BASS TRACKER","17","OTHER",1
"BASS TRACKER","BOAT","OTHER",1
"BASS TRACKER","TRAILER","OTHER",1
"BASSCAT","2","OTHER",1
"BASSCAT","TRAILER","OTHER",1
"BAT","16'","OTHER",1
"BATTERY","A","OTHER",1
"BATTERY","BATTERY","OTHER",7
"BATTERY","CARRY","OTHER",1
"BAY LINER","TRAILER","OTHER",1
"BAYLINER","2352","OTHER",1
"BAYLINER","235BR","OTHER",1
"BAYLINER","BOAT","OTHER",4
"BAYLINER","TRAILER","OTHER",2
"BB","FLATBED","OTHER",1
"BBQ","TRAILER","OTHER",2
"BBQ","TRAILOR","OTHER",1
"BD502","TRAILER","OTHER",1
"BEAVER","MONTEREY","OTHER",1
"BEAVER","MOTEREY","OTHER",1
"BEAVER","RV","OTHER",1
"BECK","550","OTHER",1
"BECK","PORSCHE","OTHER",1
"BECK","TRAILER","OTHER",1
"BEE","HORSE","OTHER",1
"BEE","TRAILER","OTHER",1
"BEE LINE","HORSE","OTHER",1
"BEEDA","TRAILER","OTHER",1
"BEEWISE","TRAILER","OTHER",1
"BELCHE","TRAILER","OTHER",1
"BELISH","FLATBED","OTHER",1
"BELMO","TRAILER","OTHER",1
"BELMONT","STUP","OTHER",1
"BELMONT","TRAILER","OTHER",1
"BELS","TRL","OTHER",1
"BELS","UTILITIE","OTHER",1
"BENDR","UTIL","OTHER",1
"BENDRON","TITAN","OTHER",4
"BENELLI","STOCK","OTHER",1
"BENNCHE","BIG","OTHER",2
"BENNINGTON","BOAT","OTHER",1
"BENNINGTON","OUTBOARD","OTHER",1
"BENNINGTON","TRITOON","OTHER",1
"BENTLEY","ARNAGE","LUX",88
"BENTLEY","AZURE","LUX",26
"BENTLEY","BENTAYGA","LUX",17
"BENTLEY","BROOKLANDS","LUX",13
"BENTLEY","CONTINENTAL","LUX",1053
"BENTLEY","CORNICHE","LUX",1
"BENTLEY","EIGHT","LUX",3
"BENTLEY","FLYING","LUX",66
"BENTLEY","MULSANNE","LUX",35
"BENTLEY","T2","LUX",2
"BENTLEY","TRAILER","LUX",1
"BENTLEY","TURBO","LUX",10
"BERKSHIRE","FORESTER","OTHER",1
"BERTONE","X-1/9","OTHER",4
"BEST","BILT","OTHER",1
"BEST","TRAILER","OTHER",1
"BEST","UT","OTHER",1
"BETA","BETA","OTHER",1
"BETTER","BUILT","OTHER",1
"BETTER BUILD","TRAILOR","OTHER",1
"BETTER BUILT","DUAL","OTHER",1
"BETTER BUILT","TRAILER","OTHER",3
"BETTERBUILT","TRAILER","OTHER",1
"BG","TX","OTHER",1
"BGTMFG","UT16","OTHER",1
"BGTX","16FT","OTHER",1
"BGTX","ULITY","OTHER",1
"BGTX","UT","OTHER",1
"BGTX","UTILITY","OTHER",2
"BI/TE","LTRL","OTHER",1
"BI/TE","TRAILER","OTHER",1
"BIDTX","FLAT","OTHER",1
"BIKE","BIKE","OTHER",3
"BIKE","HARLEY","OTHER",1
"BIKE","HAULER","OTHER",1
"BIKE","HONDA","OTHER",1
"BIKE","MOTORCYCLE","OTHER",1
"BIKE","SUZUKI","OTHER",1
"BIKE","TRAILER","OTHER",2
"BIKE","TRIKE","OTHER",1
"BINTELLI","FURY","OTHER",1
"BISON","ALUMA","OTHER",1
"BISON","HE","OTHER",1
"BISON","HORSE","OTHER",2
"BISON","N/A","OTHER",1
"BISON","TRAIL","OTHER",2
"BISON","TRAILER","OTHER",3
"BITTER","SC","OTHER",1
"BJ","B5","OTHER",1
"BKDY","UT","OTHER",1
"BLACK","10","OTHER",1
"BLACK","2","OTHER",1
"BLACK","6X12","OTHER",1
"BLACK","BOAT","OTHER",1
"BLACK","BOX","OTHER",3
"BLACK","CLOSED","OTHER",1
"BLACK","COW","OTHER",1
"BLACK","DUMP","OTHER",2
"BLACK","FLATBED","OTHER",4
"BLACK","TRAILER","OTHER",7
"BLACK","UTILITY","OTHER",3
"BLACK","UTL","OTHER",1
"BLACK WIDOW","TRAILER","OTHER",1
"BLACKJACK","XL","OTHER",1
"BLACKWOOD","TRAILER","OTHER",1
"BLAKELY","BERNARDI","OTHER",1
"BLAST","BLAST","OTHER",1
"BLAZE","CARGO","OTHER",1
"BLAZER","14'","OTHER",1
"BLAZER","UTILITY","OTHER",1
"BLIZZARD","SNOW","OTHER",1
"BLOOMER","HORSE","OTHER",1
"BLOOMER","TRAILER","OTHER",1
"BLUE","TRAILER","OTHER",1
"BLUE BIRD","BUS","OTHER",1
"BLUE WAVE","22FT","OTHER",1
"BLUE WAVE","STL","OTHER",1
"BLUEBIRD","BUS","OTHER",1
"BLUEBIRD","WANDERLODGE","OTHER",1
"BLUERIDGE","3025","OTHER",1
"BLUERIDGE","CAMPER","OTHER",1
"BLUMMER","NEW","OTHER",1
"BMATE","BOAT","OTHER",1
"BMW","<MODEL>","OTHER",1
"BMW","1-Series","COMPACT",8201
"BMW","2-Series","COMPACT",1830
"BMW","3-Series","COMPACT",205982
"BMW","4-Series","COMPACT",7027
"BMW","5-Series","MID",86122
"BMW","6-Series","LUX SPORT",7970
"BMW","7-Series","LUX",21967
"BMW","8-Series","LUX SPORT",175
"BMW","ACTIVE","OTHER",1
"BMW","ACTIVEHYBRID","OTHER",276
"BMW","ALPINA","LUX",212
"BMW","B","OTHER",1
"BMW","BWM","OTHER",1
"BMW","C600","OTHER",1
"BMW","C650","OTHER",1
"BMW","CL1200R","OTHER",1
"BMW","CONQUEST","OTHER",1
"BMW","CUSTOM","OTHER",1
"BMW","F-650","OTHER",1
"BMW","F650","OTHER",5
"BMW","F650GS","OTHER",7
"BMW","F650RC","OTHER",1
"BMW","F700","OTHER",1
"BMW","F700GS","OTHER",3
"BMW","F80","OTHER",1
"BMW","F800","OTHER",5
"BMW","F800G","OTHER",1
"BMW","F800GS","OTHER",7
"BMW","F800GSA","OTHER",1
"BMW","F800S","OTHER",1
"BMW","F800ST","OTHER",2
"BMW","G310","OTHER",1
"BMW","G650","OTHER",3
"BMW","G650GS","OTHER",4
"BMW","GLT","OTHER",1
"BMW","GS","OTHER",7
"BMW","GS1200","OTHER",2
"BMW","GS1400","OTHER",1
"BMW","GS200","OTHER",1
"BMW","HP4","OTHER",1
